Stegoceras,tegoceras$
Jaxartosaurus,axartosaurus$
Compsognathus,ompsognathus$
Herrerasaurus,errerasaurus$
Talarurus,alarurus$
Hypacrosaurus,ypacrosaurus$
Aucasaurus,ucasaurus$
Kritosaurus,ritosaurus$
Lurdusaurus,urdusaurus$
Carcharodontosaurus,archarodontosaurus$
Eolambia,olambia$
Yuanmousaurus,uanmousaurus$
Yimenosaurus,imenosaurus$
Zalmoxes,almoxes$
Polacanthus,olacanthus$
Bagaceratops,agaceratops$
Anchiceratops,nchiceratops$
Dromaeosaurus,romaeosaurus$
Hesperosaurus,esperosaurus$
Abelisaurus,belisaurus$
Maxakalisaurus,axakalisaurus$
Einiosaurus,iniosaurus$
Secernosaurus,ecernosaurus$
Giraffatitan,iraffatitan$
Borogovia,orogovia$
Segisaurus,egisaurus$
Tyrannotitan,yrannotitan$
Gorgosaurus,orgosaurus$
Sauropelta,auropelta$
Neovenator,eovenator$
Tylocephale,ylocephale$
Stenonychosaurus,tenonychosaurus$
Saurolophus,aurolophus$
Conchoraptor,onchoraptor$
Dreadnoughtus,readnoughtus$
Bactrosaurus,actrosaurus$
Brachylophosaurus,rachylophosaurus$
Metriacanthosaurus,etriacanthosaurus$
Cryolophosaurus,ryolophosaurus$
Leaellynasaura,eaellynasaura$
Aragosaurus,ragosaurus$
Malawisaurus,alawisaurus$
Edmontonia,dmontonia$
Shuvuuia,huvuuia$
Aralosaurus,ralosaurus$
Albertosaurus,lbertosaurus$
Prenocephale,renocephale$
Aegyptosaurus,egyptosaurus$
Euhelopus,uhelopus$
Austrosaurus,ustrosaurus$
Kentrosaurus,entrosaurus$
Triceratops,riceratops$
Diplodocus,iplodocus$
Dubreuillosaurus,ubreuillosaurus$
Nqwebasaurus,qwebasaurus$
Euoplocephalus,uoplocephalus$
Micropachycephalosaurus,icropachycephalosaurus$
Saurornithoides,aurornithoides$
Majungasaurus,ajungasaurus$
Eoraptor,oraptor$
Othnielia,thnielia$
Alectrosaurus,lectrosaurus$
Erketu,rketu$
Nothronychus,othronychus$
Pachyrhinosaurus,achyrhinosaurus$
Rhabdodon,habdodon$
Torvosaurus,orvosaurus$
Dicraeosaurus,icraeosaurus$
Yangchuanosaurus,angchuanosaurus$
Tsintaosaurus,sintaosaurus$
Rugops,ugops$
Pantydraco,antydraco$
Thecodontosaurus,hecodontosaurus$
Afrovenator,frovenator$
Cetiosauriscus,etiosauriscus$
Jingshanosaurus,ingshanosaurus$
Ligabuesaurus,igabuesaurus$
Muttaburrasaurus,uttaburrasaurus$
Caudipteryx,audipteryx$
Proceratosaurus,roceratosaurus$
Opisthocoelicaudia,pisthocoelicaudia$
Apatosaurus,patosaurus$
Tarchia,archia$
Orodromeus,rodromeus$
Scelidosaurus,celidosaurus$
Cetiosaurus,etiosaurus$
Maiasaura,aiasaura$
Concavenator,oncavenator$
Patagotitan,atagotitan$
Rajasaurus,ajasaurus$
Leptoceratops,eptoceratops$
Rinchenia,inchenia$
Goyocephale,oyocephale$
Nipponosaurus,ipponosaurus$
Argentinosaurus,rgentinosaurus$
Chirostenotes,hirostenotes$
Erlikosaurus,rlikosaurus$
Harpymimus,arpymimus$
Pelecanimimus,elecanimimus$
Garudimimus,arudimimus$
Lapparentosaurus,apparentosaurus$
Agilisaurus,gilisaurus$
Patagosaurus,atagosaurus$
Dromiceiomimus,romiceiomimus$
Albertaceratops,lbertaceratops$
Sinosauropteryx,inosauropteryx$
Yunnanosaurus,unnanosaurus$
Tenontosaurus,enontosaurus$
Mapusaurus,apusaurus$
Coelurus,oelurus$
Shantungosaurus,hantungosaurus$
Protoceratops,rotoceratops$
Saichania,aichania$
Poekilopleuron,oekilopleuron$
Isisaurus,sisaurus$
Arrhinoceratops,rrhinoceratops$
Velociraptor,elociraptor$
Zuniceratops,uniceratops$
Chubutisaurus,hubutisaurus$
Gasparinisaura,asparinisaura$
Procompsognathus,rocompsognathus$
Tarbosaurus,arbosaurus$
Protarchaeopteryx,rotarchaeopteryx$
Dilophosaurus,ilophosaurus$
Tuojiangosaurus,uojiangosaurus$
Kotasaurus,otasaurus$
Dryosaurus,ryosaurus$
Silvisaurus,ilvisaurus$
Torosaurus,orosaurus$
Staurikosaurus,taurikosaurus$
Saltasaurus,altasaurus$
Baryonyx,aryonyx$
Gobisaurus,obisaurus$
Heterodontosaurus,eterodontosaurus$
Atlascopcosaurus,tlascopcosaurus$
Ampelosaurus,mpelosaurus$
Graciliceratops,raciliceratops$
Ankylosaurus,nkylosaurus$
Anchisaurus,nchisaurus$
Puertasaurus,uertasaurus$
Tsagantegia,sagantegia$
Chaoyangsaurus,haoyangsaurus$
Dacentrurus,acentrurus$
Nodosaurus,odosaurus$
Magyarosaurus,agyarosaurus$
Acrocanthosaurus,crocanthosaurus$
Yutyrannus,utyrannus$
Deinonychus,einonychus$
Pyroraptor,yroraptor$
Megalosaurus,egalosaurus$
Hylaeosaurus,ylaeosaurus$
Rhoetosaurus,hoetosaurus$
Edmontosaurus,dmontosaurus$
Unenlagia,nenlagia$
Buitreraptor,uitreraptor$
Sarcosaurus,arcosaurus$
Lesothosaurus,esothosaurus$
Corythosaurus,orythosaurus$
Archaeoceratops,rchaeoceratops$
Hagryphus,agryphus$
Bellusaurus,ellusaurus$
Hadrosaurus,adrosaurus$
Ornitholestes,rnitholestes$
Aardonyx,ardonyx$
Sinovenator,inovenator$
Mussaurus,ussaurus$
Utahraptor,tahraptor$
Confuciusornis,onfuciusornis$
Podokesaurus,odokesaurus$
Dracorex,racorex$
Panoplosaurus,anoplosaurus$
Piatnitzkysaurus,iatnitzkysaurus$
Ornithomimus,rnithomimus$
Archaeornithomimus,rchaeornithomimus$
Riojasaurus,iojasaurus$
Achelousaurus,chelousaurus$
Iguanodon,guanodon$
Chinshakiangosaurus,hinshakiangosaurus$
Styracosaurus,tyracosaurus$
Sinocalliopteryx,inocalliopteryx$
Minmi,inmi$
Rebbachisaurus,ebbachisaurus$
Spinosaurus,pinosaurus$
Pentaceratops,entaceratops$
Khaan,haan$
Eustreptospondylus,ustreptospondylus$
Saurophaganax,aurophaganax$
Sinornithosaurus,inornithosaurus$
Liaoceratops,iaoceratops$
Bambiraptor,ambiraptor$
Archaeopteryx,rchaeopteryx$
Zephyrosaurus,ephyrosaurus$
Sinraptor,inraptor$
Guaibasaurus,uaibasaurus$
Haplocanthosaurus,aplocanthosaurus$
Ouranosaurus,uranosaurus$
Struthiosaurus,truthiosaurus$
Dryptosaurus,ryptosaurus$
Pinacosaurus,inacosaurus$
Omeisaurus,meisaurus$
Fukuiraptor,ukuiraptor$
Jobaria,obaria$
Nemegtosaurus,emegtosaurus$
Oviraptor,viraptor$
Huayangosaurus,uayangosaurus$
Irritator,rritator$
Nedoceratops,edoceratops$
Stenopelix,tenopelix$
Sonidosaurus,onidosaurus$
Chungkingosaurus,hungkingosaurus$
Avimimus,vimimus$
Giganotosaurus,iganotosaurus$
Lophostropheus,ophostropheus$
Tyrannosaurus,yrannosaurus$
Guanlong,uanlong$
Lycorhinus,ycorhinus$
Pelorosaurus,elorosaurus$
Plateosaurus,lateosaurus$
Supersaurus,upersaurus$
Janenschia,anenschia$
Carnotaurus,arnotaurus$
Vulcanodon,ulcanodon$
Citipati,itipati$
Equijubus,quijubus$
Datousaurus,atousaurus$
Oryctodromeus,ryctodromeus$
Alamosaurus,lamosaurus$
Pachycephalosaurus,achycephalosaurus$
Ceratosaurus,eratosaurus$
Alvarezsaurus,lvarezsaurus$
Nomingia,omingia$
Noasaurus,oasaurus$
Parasaurolophus,arasaurolophus$
Shamosaurus,hamosaurus$
Masiakasaurus,asiakasaurus$
Cedarpelta,edarpelta$
Shunosaurus,hunosaurus$
Suchomimus,uchomimus$
Lophorhothon,ophorhothon$
Psittacosaurus,sittacosaurus$
Coelophysis,oelophysis$
Elaphrosaurus,laphrosaurus$
Gigantoraptor,igantoraptor$
Barosaurus,arosaurus$
Chasmosaurus,hasmosaurus$
Shanag,hanag$
Scutellosaurus,cutellosaurus$
Becklespinax,ecklespinax$
Liliensternus,iliensternus$
Lambeosaurus,ambeosaurus$
Amygdalodon,mygdalodon$
Lufengosaurus,ufengosaurus$
Thescelosaurus,hescelosaurus$
Quaesitosaurus,uaesitosaurus$
Melanorosaurus,elanorosaurus$
Homalocephale,omalocephale$
Europasaurus,uropasaurus$
Microceratus,icroceratus$
Nanshiungosaurus,anshiungosaurus$
Deltadromeus,eltadromeus$
Mononykus,ononykus$
Prosaurolophus,rosaurolophus$
Therizinosaurus,herizinosaurus$
Tanius,anius$
Camarasaurus,amarasaurus$
Urbacodon,rbacodon$
Struthiomimus,truthiomimus$
Jinzhousaurus,inzhousaurus$
Gastonia,astonia$
Antarctosaurus,ntarctosaurus$
Avaceratops,vaceratops$
Emausaurus,mausaurus$
Monolophosaurus,onolophosaurus$
Juravenator,uravenator$
Barapasaurus,arapasaurus$
Neuquensaurus,euquensaurus$
Chindesaurus,hindesaurus$
Stegosaurus,tegosaurus$
Protohadros,rotohadros$
Anserimimus,nserimimus$
Heyuannia,eyuannia$
Massospondylus,assospondylus$
Microraptor,icroraptor$
Brachytrachelopan,rachytrachelopan$
Nigersaurus,igersaurus$
Valdosaurus,aldosaurus$
Yinlong,inlong$
Mamenchisaurus,amenchisaurus$
